Reference ID,Category,Product Title,Description,MSRP
1,Jewellery,Pendant Necklace Set,"Sparkling Statement by Faryal(3 Pandent, 3 Earrings with 1 Chain)",2000
2,Jewellery,Earrings Set,Statement Earrings by  Faryal,1800
3,Apparel,Foil Print Kurtas,Set of 2 Foil Print Kurtas by Janasya-M,1799
4,Apparel,Foil Print Kurtas,Set of 2 Foil Print Kurtas by Janasya-XL,1799
5,Apparel,Black Lace Saree,Pick Any One Lace Saree  (Black),2499
6,Apparel,Blue Lace Saree,Pick Any One Lace Saree  (Blue),2499
7,Apparel,Black Saree,Pick Any One Half and Half Saree (Black),2499
8,Jewellery,Pearl Necklace,Pearl Necklace Set by  Jpearls,2400
9,Apparel,Black Lace Saree,Pick Any One Lace Saree - Black,2499
10,Apparel,Blue Lace Saree,Pick Any One Lace Saree  -Blue,2499

