Batch Number,Start Listing Date and Time (IST),Stop Listing at Date and Time (IST),Start bid price (Rs.),Initial bid cost (Tickets),Initial status check cost (Tickets),Reference ID,Category,Product Title,Description,MSRP,Base Price
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,AF 91,Watches,Fastrack Sports Analog Watch,Fastrack 38002Pp03J Sports Analog Watch - For Men,3955,3915
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,676,Home & Kitchen,Cortina Spandex 3 seater,Cortina Spandex & Polyester Fabric Super Stretchable Three Seater Blue,3398,3364
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,944,Apparel,Women's Leather Jacket,Leather Retail� Women's Solid Faux Leather Jacket XL Pink,3999,3959
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,765,Home & Kitchen,Drill Machine &Toolkit,Shopper52 Drill Machine with 13Pcs Screwdriver Set,3999,3959
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,AF 220,Home Appliances,Usha OTG,Usha 16L Oven Toaster Grill,4199,4157
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,AF 1110,Furnishing & Linen,Dekor World Table Linen,Dekor World Organic Cotton Table Linen Set,3299,3266
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,960,Apparel,Women's Leather Jacket,Leather Retail� Women's Solid Faux Leather Jacket 3XL Blue,3999,3959
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,850,Apparel,Mens Solid Leather Jacket,Leather Retail� Mens Solid Faux Leather Jacket S Blue,3999,3959
1,2021-11-03 09:00:00 +0000 +0000,2021-11-03 21:00:00 +0000 +0000,1,1,1,464,Home & Kitchen,Drill Machine  Wrench Set,Buy Shopper52 New 10mm  Drill Machine With Snap N Grip Wrench Set    ,3999,3959
2,2021-11-03 13:00:00 +0000 +0000,2021-11-04 01:00:00 +0000 +0000,1,1,1,1009,Apparel,Women's Leather Jacket,Leather Retail� Women's Solid Faux Leather Jacket XXL Cherry,4999,4949
2,2021-11-03 13:00:00 +0000 +0000,2021-11-04 01:00:00 +0000 +0000,1,1,1,1060,Apparel,Leather Jacket Cherry XS,Leather Retail� Women's Solid Faux Leather Jacket XS Pink,3999,3959
2,2021-11-03 13:00:00 +0000 +0000,2021-11-04 01:00:00 +0000 +0000,1,1,1,248,Home Furnishing,Luxury Covers Set,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Purple,4999,4949
