Batch Number,Start Listing Date and Time (IST),Stop Listing at Date and Time (IST),Start bid price (Rs.),Initial bid cost (Tickets),Initial status check cost (Tickets),Reference ID,Category,Product Title,Description,MSRP,Base Price
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1820,Furniture & Fixtures,Barewether Single Bed,Barewether Engineered Wood Single Bed,9239,9146
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1520,Home Appliances,Luminious Inverter,LUMINOUS Zelio+ 1100/12V Pure Sine Wave Inverter,5999,5939
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1539,Home Appliances,Flipkartair Cooler,Flipkart SmartBuy 47 L Tower Air Cooler,7499,7424
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 61,Computer Accessories,Transcend Hard Disk,Transcend 2.5 Inch 1 Tb External Hard Disk,5199,5147
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1690,Furniture & Fixtures,Nilkamal Coffee Table,Nilkamal Zina Wood Coffee Table,7200,7128
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 755,Camera & Photography,Nikon Dslr,Nikon D5600 Dslr Camera Body With Dual Lens,5999,5939
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1808,Furniture & Fixtures,Spacewood Single Bed,SPACEWOOD Engineered Wood Single Box Bed,9116,9024
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1584,Furniture & Fixtures,Saverschoice Wardrobe,SAVERSCHOICE Brick Single Door Wardrobe,6390,6326
1,2021-11-03 09:00:00 +0000 +0000,2021-11-04 09:00:00 +0000 +0000,1,1,1,AF 1953,Home Appliances,Wolf Garten Lawn Mower,WOLF GARTEN Manual Reel Push Lawn Mower,5400,5346
2,2021-11-03 17:00:00 +0000 +0000,2021-11-04 17:00:00 +0000 +0000,1,1,1,AF 224,Home Appliances,Black Decker OTG,Black & Decker 19L Oven Toaster Grill,5995,5935
