S.No,Category,Product Name,Length,Description,Length,MRP,,,,
1,Jewellery,Pendant Necklace Set," 20","Sparkling Statement by Faryal(3 Pandent, 3 Earrings with 1 Chain)"," 65"," 2000",,,,
2,Jewellery,Earrings Set," 12",Statement Earrings by  Faryal," 29"," 1800",,,,
3,Apparel,Foil Print Kurtas," 17",Set of 2 Foil Print Kurtas by Janasya-M," 39"," 1799",,,,
4,Apparel,Foil Print Kurtas," 17",Set of 2 Foil Print Kurtas by Janasya-XL," 40"," 1799",,,,
5,Apparel,Black Lace Saree," 16",Pick Any One Lace Saree  (Black)," 32"," 2499",,,,
6,Apparel,Blue Lace Saree," 15",Pick Any One Lace Saree  (Blue)," 31"," 2499",,,,
7,Apparel,Black Saree," 11",Pick Any One Half and Half Saree (Black)," 40"," 2499",,,,
8,Jewellery,Pearl Necklace," 14",Pearl Necklace Set by  Jpearls," 30"," 2400",,,,
9,Apparel,Black Lace Saree," 16",Pick Any One Lace Saree - Black," 31"," 2499",,,,
10,Apparel,Blue Lace Saree," 15",Pick Any One Lace Saree  -Blue," 30"," 2499",,,,
11,Apparel,Pink Lace Saree," 15",Pick Any One Lace Saree - Pink," 30"," 2499",,,,
12,Kitchen,Food Processor," 14",Wonderchef Manual Food Processor," 32"," 2000",,,,
13,Footwear,Casual Mens Canvas Shoes," 24",Desi motifs mens canvas shoes (pack of 3) size-6," 48"," 1497",,,,
14,Footwear,Casual Mens Canvas Shoes," 24",Desi motifs mens canvas shoes (pack of 3) size-7," 48"," 1497",,,,
15,Kitchen,Slush and Gola Maker," 20",Crystal Gola & Slush   maker," 28"," 1499",,,,
16,Home,Purple Wardrobe," 15",Wardrobe+Shoe Rack+Organizer - Purple," 37"," 4999",,,,
17,Apparel,Casual Denims for Women," 23",Uber Urban Set of 2 Casual Denims for Women Size-32," 51"," 1998",,,,
18,Apparel,Stylish Cotton Kurta," 20",Aadiya Pack of 3 Stylish Cotton Kurta Size- S," 45"," 2997",,,,
19,Home Furnishing,Abstract Print Bedsheet," 23",About home Beautiful abstract print double bedsheet with 2 pillow covers," 72"," 999",,,,
20,Kitchen,Kitchen Storage Set," 19",Slings 10pcs kitchen Storage with Spice  Rack," 45"," 2500",,,,
21,Apparel,Women Pop Collection Top ," 25",Bloomeri Pretty Pop Collection Size -L," 38"," 2997",,,,
22,Apparel,Women Pop Collection Top ," 25",Bloomeri Pretty Pop Collection Size -XL," 39"," 2997",,,,
23,Home Furnishing,Home Décor Set," 14",Frame your home with 2 door curtain + 5 cushion covers + 5 door Mats - Rust," 75"," 2999",,,,
24,Home Furnishing,Home Décor Set," 14",Frame your home with 2 door curtain + 5 cushion covers + 5 door Mats - Red," 74"," 2999",,,,
25,Footwear,Women slip on Sandal," 20",Pack of 3 Women's fashion slip on sandals SIZE - 3," 50"," 2997",,,,
26,Footwear,Women slip on Sandal," 20",Pack of 3 Women's fashion slip on sandals SIZE - 4," 50"," 2997",,,,
